station_name,latitude,longitude,timestamp,free_bikes,empty_slots
Kitsilano Beach Park,49.273355,-123.154493,2025-05-13T06:28:19.920951+00:00Z,16,17
Rolston & Granville,49.274232,-123.129998,2025-05-13T06:28:20.168923+00:00Z,10,12
Cordova & Bute,49.289124,-123.12196,2025-05-13T06:28:19.634663+00:00Z,12,1
12th & Yukon (City Hall),49.260599,-123.113504,2025-05-13T06:28:19.588562+00:00Z,2,13
Blenheim & 4th,49.268837,-123.177633,2025-05-13T06:28:20.221184+00:00Z,13,7
Wylie & 2nd,49.267725,-123.11311,2025-05-13T06:28:19.887150+00:00Z,6,11
Thurlow & Pendrell,49.280881,-123.130672,2025-05-13T06:28:19.884711+00:00Z,8,7
14th & Cambie,49.258763,-123.115392,2025-05-13T06:28:19.772692+00:00Z,1,12
Granville & Georgia,49.282409,-123.118541,2025-05-13T06:28:19.589873+00:00Z,3,17
Grant & Commercial,49.271377,-123.069416,2025-05-13T06:28:20.015425+00:00Z,7,7
8th & Ontario,49.263837,-123.105173,2025-05-13T06:28:19.791092+00:00Z,7,9
Hornby & Nelson,49.28062,-123.12482,2025-05-13T06:28:19.645899+00:00Z,10,7
šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,49.283227,-123.120523,2025-05-13T06:28:19.790171+00:00Z,1,25
Dunsmuir & Beatty,49.279764,-123.110154,2025-05-13T06:28:19.588176+00:00Z,18,7
Robson & Granville,49.281506,-123.120101,2025-05-13T06:28:19.741677+00:00Z,1,21
4th & Commercial,49.266969,-123.069936,2025-05-13T06:28:20.015737+00:00Z,1,13
8th & Scotia,49.263635,-123.099236,2025-05-13T06:28:19.956481+00:00Z,1,9
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,2025-05-13T06:28:19.631446+00:00Z,7,13
7th & Granville,49.2653,-123.13811,2025-05-13T06:28:19.771975+00:00Z,0,14
Harwood & Bute,49.28026,-123.135244,2025-05-13T06:28:19.789239+00:00Z,5,11
Creekside Park North,49.2756,-123.102661,2025-05-13T06:28:19.920337+00:00Z,8,10
Nicola & Robson,49.2885056,-123.1312375,2025-05-13T06:28:19.789762+00:00Z,5,13
10th & Commercial,49.261403,-123.070102,2025-05-13T06:28:20.016047+00:00Z,13,11
10th & Cambie,49.262487,-123.114397,2025-05-13T06:28:19.587083+00:00Z,8,26
Quebec & 1st,49.27033,-123.10275,2025-05-13T06:28:19.922533+00:00Z,6,12
Lakewood & Oxford,49.285575,-123.061575,2025-05-13T06:28:20.260965+00:00Z,6,12
Carolina & Great Northern Way,49.267266,-123.090786,2025-05-13T06:28:20.141108+00:00Z,3,13
Columbia & 5th,49.266476,-123.109389,2025-05-13T06:28:19.921451+00:00Z,5,13
East Blvd & 37th,49.238105,-123.154966,2025-05-13T06:28:20.222431+00:00Z,3,16
Trafalgar & Cornwall,49.272969,-123.164325,2025-05-13T06:28:20.221969+00:00Z,8,12
5th & Arbutus,49.267222,-123.153157,2025-05-13T06:28:19.791479+00:00Z,5,11
Stanley Park - Information Booth,49.297933,-123.130758,2025-05-13T06:28:19.956768+00:00Z,12,7
14th & Main,49.258425,-123.100792,2025-05-13T06:28:19.885874+00:00Z,5,8
Georgia & Main,49.278529,-123.100017,2025-05-13T06:28:19.940383+00:00Z,9,10
Agronomy & East Mall,49.261736,-123.24648,2025-05-13T06:28:20.263140+00:00Z,4,13
Alma & Point Grey,49.27247,-123.185643,2025-05-13T06:28:20.220728+00:00Z,9,15
20th & Main,49.252691,-123.101289,2025-05-13T06:28:20.260005+00:00Z,1,15
Nelson & Mainland,49.276436,-123.11877,2025-05-13T06:28:19.788269+00:00Z,16,3
Point Grey & Blenheim,49.271471,-123.17731,2025-05-13T06:28:20.221324+00:00Z,10,3
Yukon & 6th,49.265939,-123.1129,2025-05-13T06:28:19.921820+00:00Z,2,16
Burrard & 7th,49.265336,-123.145823,2025-05-13T06:28:19.886676+00:00Z,1,15
14th & Granville,49.25894,-123.139272,2025-05-13T06:28:19.772540+00:00Z,6,7
Wall & Eton,49.287464,-123.060771,2025-05-13T06:28:20.260584+00:00Z,8,9
Beach & Cardero,49.283298,-123.142288,2025-05-13T06:28:19.886835+00:00Z,7,12
Cypress & 4th,49.268269,-123.147885,2025-05-13T06:28:19.787960+00:00Z,12,6
Bute & Robson,49.285836,-123.127265,2025-05-13T06:28:19.645723+00:00Z,0,0
Richards & Robson,49.280216,-123.117639,2025-05-13T06:28:19.884883+00:00Z,2,16
Glen & Union,49.277469,-123.081315,2025-05-13T06:28:19.987714+00:00Z,11,3
8th & Yukon,49.263962,-123.112621,2025-05-13T06:28:19.921681+00:00Z,7,17
1st & Chestnut,49.270721,-123.146175,2025-05-13T06:28:19.791219+00:00Z,11,14
10th & Main,49.262141,-123.101961,2025-05-13T06:28:19.781234+00:00Z,7,8
Georgia & Homer,49.280787,-123.115271,2025-05-13T06:28:20.162907+00:00Z,5,12
York & Yew,49.271741,-123.155421,2025-05-13T06:28:19.956186+00:00Z,16,2
Ontario & Seawall,49.271721,-123.104207,2025-05-13T06:28:19.589218+00:00Z,12,8
10th & Granville,49.262598,-123.138921,2025-05-13T06:28:19.772329+00:00Z,5,9
15th & Knight,49.256496,-123.075426,2025-05-13T06:28:20.096815+00:00Z,10,4
Ontario & 23rd,49.249722,-123.104991,2025-05-13T06:28:20.259622+00:00Z,4,8
Dunbar & Broadway,49.264579,-123.18373,2025-05-13T06:28:20.221048+00:00Z,16,10
